,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse4.Level1,Q147.OtherInfoAreas.Reponse5.Level1,Q147.OtherInfoAreas.Reponse6.Level1,Q147.OtherInfoAreas.Reponse7.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse4.Level1,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse1.Level3,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse3.Level3,Q162.MainChallengesOnFarm.Reponse4.Level1,Q162.MainChallengesOnFarm.Reponse4.Level2,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q171.MakeSharingEasier.Response2.Level2,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2
17,"Fertility, soil conservation, irrigation and Farm management skills",Soil management ,Soil conservation,,Irrigation,,Farm management,,,,,,,being trained,Training ,Good agricultural practices,Finance,,,,"Weeds, Pests and diseases",Weeds,,,Pests,,,,,,,,not yet,"Weeding information, soil management",language barrier and education level,Language,,Poor education,Financial and manual/materials support,Funding,,Training materials,,"animals feeds, savings",Livestock ,,Savings,,Good weather,,low  credit limit because my security is agricultural produce which is highly affected by weather,Low Credit,Bad Weather,,,"its not active,take time to given loan",Disbursement Timeline,
18,how to preserve milk,Milk storage,,,,,,,,,,,,training on best farming practice and acces to finance,Training ,Good agricultural practices,Finance,,,,"Transportation of farm produce is far, weather, expensive labour on tea plucking, bad weeds",Weather,,,Labour ,Costs,,Weeds,,,Transport,Transportation distance,diversify on food crops,how to do hydroponic practices,not really depent on the other farmer,Not needed,,,have a localised system of farming,Localised farming system,,,,"wages,savings,development, daily expenses",Wages,Savings,Farm Costs,Daily Expenses,Good crops,,"credit limit
repayment challenges",Low Credit,,Repayment Hard,,Repayments during low season is a problem,Repayment Hard,Farming Challenges
19,more of training on farm records and new farming techniqes,Record keeping,,,Good agricultural practices,,,,,,,,,financial support to purchase modern beehives,,,Finance,Beehives,,,pest,Pests,,,,,,,,,,,i have tried to employ some on contract basis,how to improve on banana production,poor communication,Communication,,,improve on communication systems,Communication,,,,"development,wages,saving",Wages,Savings,Farm Costs,,Weather and composting,,repayment problem since tea yield varies depending onbweather,Repayment Hard,Bad Weather,,,sometime there is no enough funds,Repayment Hard,
20,,,,,,,,,,,,,,"to trained
to be boosted financially so as to construct dairy farm",Training ,,Finance,Dairy ,,,lack of knowledge and high cost of living,Living costs,,,Knowledge,,,,,,,,putt tarraces to prevent water,how to do and practice soil and water management,ilitrecy some of us did not go to school,Poor education,Literacy,,have the presentation on understandable mode,Improved presentations,,,,"wages,savings",Wages,Savings,,,Fertility degradation,,low tea yield makes my credit limit low,Low Credit,,Farming Challenges,,limitation of funds amount,Repayment Hard,
21,"proper Records keeping,
Good farming practices that cam improve yield",Record keeping,,,Yield improvement,,,,,,,,,"accessibility to finance
storage facility
transportation

lack of electricity",Transport,,Finance,,Storage,Electricity,plucking labour constrains on flactuation of tea prices,Labour ,Shortage,,Prices,Price fluctuation,,,,,,,tarecess,how to improve farming of tea,negligents,Negligence,,,improve on farmer communication,Communication,,,,"saving,development,animal feeds",Livestock ,Savings,Farm Costs,,due to heavy rainfall accomoanied byhailstones,,"limited credit limit
low value security",Low Credit,,,,reduced production increase interest,High Interest,Farming Challenges
22,"fishery  
farm segmentation to improve yield
good farming practices,
proper tea growing
good record keeping",Livestock,Fish,,Farm planning,,Record keeping,,Yield improvement,Tea management,,,,"financial support
and training",Training ,,Finance,,,,"heavy rainfall
drought",Weather,Rain,Heavy,Weather,Drought,,,,,,,building gabions,news ways of milk processing before selling,language,Language,,,educate farmers on farming techniques,Training,,,,"wages, savings, develoment",Farm Costs,Savings,Wages,,perserver drouth hit tea bushes,,interest rates is high,High Interest,,,,poor weather sometimes affect the income,Repayment Hard,Bad Weather
23,"cattle rearing 
better farming skills to increase tea yield
soil testing to enable know the best fertilizer",Soil management ,Soil quality analysis,,Dairy farming,,Yield improvement,,,,,,,"when trained on the new techniques
buy me a cow  i will be happy",Training,New ideas,Finance,Dairy ,,,poor communication to my fellow farmers,Information,Poor communication,,,,,,,,,,put mulching materials,how to construct taracess,communication and negligence,Communication,,Negligence,visit farmers regularly,Visit Fellow Farmers Farms,,,,"saving,development,daily home expenses",Farm Costs,Savings,Farm Costs,Daily Expenses,weather changes,,interest rates are high,High Interest,,,,delay in disbursement of the loan,Disbursement Timeline,
24,"soil testing,
financial access",Soil management ,Soil quality analysis,,Financial management,,,,,,,,,financial support to fund me start the business,Finance,Micro-enterprise,,,,,not knowing the practices how they are don fully,Knowledge,Good agricultural practices,,,,,,,,,,construction of terraces,pruning,,,,,reduce adult iliteracy through teaching them,Training,Reduce illiteracy,,,"animal feeds,wages",Livestock ,,Wages,,heavy rainfall accompanied by hailstones,,"delay in remittance
low credit limit 
high interest charged
long process to acquire loan",Low Credit,Disbursement Timeline,High Interest,,so far no challenges,No Challenges,
25,"record keeping
soil acidity,
how to improve yield
proper tea plucking",Soil management ,Soil quality analysis,,Record keeping,,Yield improvement,,Plucking,,,,,financing to enable land acquisition and also provision of resources,Finance,Land,,,,,drought and run off water,Weather,Drought,,Crops,Soil erosion,,,,,,,dd,how to get quality tea,resistance by the recipient to the new idea,Fellow farmers do not accept training,,,educate us on faring practices,Training,,,,"wages,animal  feeds,savings,",Livestock ,Savings,Wages,,increased kgs plucked so far,,repayment period is low and high interest and credit limit is limited by the amount of crop previously produced,Repayment Hard,Farming Challenges,High Interest,,low production of tea sometimes affect payement,Repayment Hard,Farming Challenges
26,"biogas
greenhouse
water filtration
poultry keeping",Livestock,Poultry,,Biogas,,Water management ,,,,,,,i request for seedling or financial support,Finance,Land,Inputs,Seedlings,,,heavy rainfall and hailstones,Weather,Rain,Heavy,Weather,Extreme,Hail,,,,,,intercroping and  planting shed trees,not in a position,inadequate resources such as time and recipient resistance,Fellow farmers do not accept training,,Lack of information/resources/demonstrations/demonstrations,educate the farmers on the importance of other farmers in production,Training,,,,"wages, animal feeds,",Livestock ,,Wages,,poor tea production,,repayment during low is a great challenge,Repayment Hard,Farming Challenges,,,low credit limit depends on my shares,Low Credit,Shares
27,"soil ph value that is salinity and acidity 
biogas record keeping",Soil management ,Soil quality analysis,,Biogas,,Record keeping,,,,,,,financial support to be granted to enable me do them,Finance,,,,,,weather changes and heavy rainfall with less fertiliser suplied by the company,Weather,Changing,,Weather,Rain,Heavy,Inputs,Fertilizer,Low volume applied,,,"manual weeding 
chemical use to solve pest and diseases
access to funds to facilitate acquisition of transport means like motor cycle",placement of mulching materials,lack of resources to train,Lack of information/resources/demonstrations/demonstrations,,,use farm promoters,Farmer Promoters,,,,"wages,developments",Farm Costs,,Wages,,pruning of the tea,,due to low crop yield  and fluctuating tea price loan credit is low,Low Credit,Farming Challenges,,,low amount of money disbursed by the sacco,Insufficient Disbursement Amount,
28,"soil testing 
fertilizer 
biogas",Soil management ,Soil quality analysis,,Biogas,,Fertilizer management,,,,,,,access to finance,Finance,,,,,,weather changes,Weather,Changing,,,,,,,,,,"manual weeding and chemical weeding
i request my farm soil to tested",my neighbours,"poor attendance to training and demonstration
resistance by farmers",Fellow farmers do not accept training,,,have the meetings frequent in the buying centers,Meetings at buying centres,,,,"wages, developments, daily expenses",Wages,Daily Expenses,Farm Costs,,planted new tea pushes,,fluctuating crop yield lows credit limit,Low Credit,Farming Challenges,,,no problem so far,No Challenges,
29,"soil management
tea plucking rounds
fertilizer addition to the farm when and how to do so",Soil management ,Soil quality analysis,,Plucking,,Fertilizer management,,,,,,,to be assisted financial support and training,Training ,,Finance,,,,gd,,,,,,,,,,,,"building trench to prevent  soil erosion,
to diversify to other things",the new farming practices so that they also benefit,no challenges,No Challenges,,,,,,,,"wages, animal feeds,expanding farming,community group contribution,church contribution among others",Wages,Farm Costs,Livestock,Group Contributions,reduced tea leaves production,,credit is limited because tea yield fluctuate,Low Credit,Farming Challenges,,,delay sometimes of money,Disbursement Timeline,
30,"soil testing
how to improve yield",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,if am given financial aid i will do,Finance,,,,,,"inadewuate food supply,
price flactuations,
drought,
hailstones and frost",Weather,Drought,,Weather,Extreme,Hail,,,,,,"outsourcing labour
planting improved seeds",everything taught especially farming practices,"time constraint
lack of facilities",Time,,,being simple and practising myself so that when people see get the need to try and becoming willing to learn,Training,,,,"farming, wages",Farm Costs,,Wages,,timely pruning after two and half years,,credit limit is low depending on crop yield,Low Credit,Farming Challenges,,,reduced production of tea that make payment hard,Repayment Hard,Farming Challenges
31,soil content. its salinity and acidity,Soil management ,Soil quality analysis,,,,,,,,,,,financial support,Finance,,,,,,"funds to run daily activities
record keeping pest and disease
transport problem",Finance,,,Pests,,,Transport,,,,,"doing zero grazing
preparing local animal feeds
water harvesting from roof",the skills and information gaihed,no challange,No Challenges,,,information to farmers and time be created for lessons,Training materials,,,,"wages,animal feeds",Wages,,Livestock,,:-X:-X:-D:-D:-\,,credit limit is low it relay on tea leaves delivered to fac5ory,Low Credit,Farming Challenges,,,It is a challenge to repay the monthly amounts tea,Repayment Hard,Farming Challenges
32,"plucking rounds
how many times to apply fertilizer",Plucking,,,Fertilizer management,,,,,,,,,financial support to enable me practice,Finance,,,,,,"weeds 
low yield in tea bushes",Weeds,,,Crops,Low productivity,,,,,,,"hand picking of weeds,
chemical weeding
sourcing loans to meet expenses","farming techniques,
plucking rounds",time factor,Time,,,information cascading so that everyone becomes  aware,Training,,,,"wages,animals feed, church contribution,develop farm",Wages,Farm Costs,Livestock,Group Contributions,due to low rain and too much cold,,"fluctuating crop yield/ prices makes credit limit to be low
high interest rates",Low Credit,Farming Challenges,High Interest,,low credit limit,Low Credit,
33,soil testing to know what i should do to improve yield,Soil management ,Soil quality analysis,,,,,,,,,,,"financial aid
better breeds",Finance,,Inputs,Improved breeds,,,"financial support
fluctuating prices
pest and disease
labour constraint
natural calamities",Finance,,,Prices,Price fluctuation,,Pests,,,Labour ,Shortage,"researching for knowledge of the farming practices and planning to start 
i have planted a crafted avocado as a pretest to the technique",farming practices which can improve yeild,lack of resources,Lack of information/resources/demonstrations/demonstrations,,,people to be given information by sireet oep,Increased support from cooperative,,,,"wages,animal feeds,",Wages,,Livestock,,better rainfall,,"interest rates 
repayment is a challenge",High Interest,,Repayment Hard,,No challenges,No Challenges,
34,"biogas
how to improve yield in my yea farming",Biogas,,,Yield improvement,,,,,,,,,access to cheap finance,Finance,Affordable,,,,,"fluctuating prices
unstable labour force
low yields",Prices,Price fluctuation,,Labour ,Shortage,,Crops,Low productivity,,,,doing inter cropping to solve  food problem and planting bananas,dairy farming and tea farming production improvement,resistance by the other famers and time problem,Fellow farmers do not accept training,,,phone numbers will improve communication,Communication,,,,pluckers salary,Wages,,,,good rain and applied fertilizer,,"interest rates
repayment difficulty when crop is low",High Interest,Farming Challenges,Repayment Hard,,They take too long to process the loans,Disbursement Timeline,
35,increasing production of tea leaves,Yield improvement,,,,,,,,,,,,financial surpport,Finance,,,,,,"inadequate training on technical know how on beekeeping, and goat rearing  animal rearing",Lack of support ,,,Training ,,,,,,,,digging terraces,farming practices which improve yield,people may not take up the training thus in may loose synergy and  strength to train as well as inability to share again,Fellow farmers do not accept training,,,"access to power such as electricity
time be created so as farmers meet and share",Electricity,,,,pay plucker,Wages,,,,massive hailstone lasted for 3 days on the ground,,"interest rates are high
repayment is hard during dry/cold season",High Interest,Bad Weather,Repayment Hard,,The no.of kgs of tea may sometimes be low,Repayment Hard,Farming Challenges
36,"how to improve yield
soil testing to know correct fertilizer to use
dairy farming
poultry keeping",Soil management ,Soil quality analysis,,Livestock,Dairy,Livestock,Poultry,Yield improvement,,,,,access to financial aid,Finance,,,,,,"pest and diseases
weather changes such as heavy rain
hailstones
weeds",Pests,,,Weather,Changing,,Weather,Extreme,Hail,Weeds,,"grazing cattle in small parts so as to make the place fertile with the animal waste.
outsourcing land to grow crops for home use
inter cropping to increase farm output
hand weeding",new farming practices that increases output,misunderstanding,Communication,,,organise meetings,Establish meetings,,,,"animal feeds,transport",Livestock ,,Transport,,stable rain and good fertilizer,,"interest rates are high
repayment is difficult during low crop",High Interest,Farming Challenges,Repayment Hard,,No. of kgs of tea may sometimes be low,Repayment Hard,Farming Challenges
37,"biogas
chicks hatching
milking machine 
soil testing",Soil management ,Soil quality analysis,,Livestock,Poultry,Biogas,,Milk production,,,,,access to cheap fianace,Finance,Affordable,,,,,its new idea and i will join very soon,New idea,,,,,,,,,,,"chemical weeding
hand weeding",the farming skills learnt,people may ask questions which i may not be able to handle,Lack of information/resources/demonstrations/demonstrations,,,creating an interaction and communication platform and calling meeting,Communication platform,,Establish meetings,,"wages, monthly expenses such zuku,animal feeds, assist the needy in the society",Wages,Daily Expenses,Livestock,Group Contributions,good  weather,,"repayment is hard during dry season,and during hailstone
high interest rates",Repayment Hard,Bad Weather,High Interest,,"Harambee sacco branches are far from home,guaranto",Long distance,
38,"soil testing
how to apply fertilizer",Soil management ,Soil quality analysis,,Fertilizer management,,,,,,,,,financial grant will do it,Finance,,,,,,"inadequate food
soil erosion
shade trees",Soil mangement,Soil erosion,,Lack of food,,,No trees,,,,,"spraying/ chemical weeding
hand picking",ways to manage soil and water,"resistance by farmers
lack of resources",Lack of information/resources/demonstrations/demonstrations,,Fellow farmers do not accept training,sireet oep to offer resources,Increased support from cooperative,,,,paying pluckers,Wages,,,,hailstone,,repayment is a challenge since sometime tea crop yield keep on fluctuating,Repayment Hard,Farming Challenges,,,The number of kgs of tea might sometimes be low,Farming Challenges,
39,"soil sampling to know correct fertilizer to apply
biogas",Soil management ,Soil quality analysis,,Biogas,,,,,,,,,"access to cheap source of finance
financial grant",Finance,Affordable,,,,,"tea yield is low
soil erosion",Crops,Low productivity,,Soil mangement,Soil erosion,,,,,,,weeding  using round up and kalach,"chemical and hand weeding
chemical handling",lack of time to go train people,Time,,,time be created for farmers to meet and share ideas,Establish meetings,,Time,,BUYING ANOTHER LAND,Land Purchase,,,,good rainfall,,"interest rates are high 
repayment during low crop season",High Interest,Farming Challenges,Repayment Hard,,,,
40,soil testing to know its ph value ie salinity and alkalinity,Soil management ,Soil quality analysis,,,,,,,,,,,financial grants,Finance,,,,,,"scarcity of land
poor land fertility
inadequate supply of food
weeds
pest and diseases",Lack of food,,,Pests,,,Soil mangement,Fertility,,Weeds,,"inter cropping (planting beans,maize,bananas and potatoes together)",how to take care of your farm,"misunderstanding from other who may think am proud
time constraint",Time,,,"forums be created to sensitize farmers
doing by example",Sensitization,,,,"WAGES AND SALARIES,MAINTENANCE OF THE FARM",Wages,,Farm Costs,,timely and sufficient rainfall,,"repayment is a challenge during low crop
interest rates are high",Repayment Hard,Farming Challenges,High Interest,,,,
41,"my soil be tested 
good ways to improve yield",Soil management ,Soil quality analysis,,Yield improvement,,,,,,,,,access to affordable source of finance and grants if possible,Finance,Affordable,,,,,"weeds
fluctuating tea prices
labour turnerover",Weeds,,,Prices,Price fluctuation,,Labour ,Shortage,,,,i dug borehole and started harvesting water to solve water problem,farming skills which improve output,respondent may be reluctant towards the information given,Fellow farmers do not accept training,,,farmers sensitization on awareness,Sensitization,,,,Farming,Farm Costs,,,,good weather such as rainfall and good health,,no challenge i am given what i require,No Challenges,,,,,,
